trial_number,value,state,task.classifier.dropout,task.classifier.mlp_hidden_dim,task.mlp_probing.optimizer.lr,task.mlp_probing.optimizer.weight_decay
0,0.89375,TrialState.COMPLETE,0.15,512,0.0006,0.0001
1,0.9,TrialState.COMPLETE,0.3015001700958418,768,0.0010454229220204477,1.6478070621924484e-05
2,0.89375,TrialState.COMPLETE,0.05025324774407918,256,0.0013385692664393224,0.0006971994326156624
3,0.8921874999999999,TrialState.COMPLETE,0.09825218549760917,768,0.00026311883710016773,0.0029096482418108443
4,0.8984375,TrialState.COMPLETE,0.22664372416276285,256,0.0014031067508512886,0.002981598752649478
5,0.8921875,TrialState.COMPLETE,0.07882342826950448,512,0.0003249074925991649,0.0023570442759095708
6,0.8953125,TrialState.COMPLETE,0.29862504584529403,256,0.0007815068474824208,0.0083825359222239
7,0.8953125,TrialState.COMPLETE,0.1871174264047728,256,0.0015392071699024243,5.048872595097112e-06
8,0.9109375,TrialState.COMPLETE,0.09364515842048565,256,0.0014785822940821028,0.004840213402251284
9,0.8984375,TrialState.COMPLETE,0.29599020863123404,768,0.0016131003474947265,2.9164510094191445e-06
10,0.8968750000000001,TrialState.COMPLETE,0.13277246126667222,256,0.00041966057790486933,6.709253755395076e-05
11,0.903125,TrialState.COMPLETE,0.3498183716824394,768,0.0009184161807308486,1.674239947737572e-05
12,0.90625,TrialState.COMPLETE,0.3481440651115306,768,0.000826006624523953,0.0003218980884660415
13,0.8984375,TrialState.COMPLETE,0.22419156800967904,768,0.0005621542651625664,0.0003876603309608467
